01.6,Activités de soutien à l'agriculture et traitement primaire des récoltes,Activ. soutien à l'agriculture & trt primaire des récoltes,Act. soutien agr. & trait. prim. récolt.
01.61,Activités de soutien aux cultures,Activités de soutien aux cultures,Activités de soutien aux cultures
01.61Z,Activités de soutien aux cultures,Activités de soutien aux cultures,Activités de soutien aux cultures
01.62,Activités de soutien à la production animale,Activités de soutien à la production animale,Activités de soutien à la prod. animale
01.62Z,Activités de soutien à la production animale,Activités de soutien à la production animale,Activités de soutien à la prod. animale
01.63,Traitement primaire des récoltes,Traitement primaire des récoltes,Traitement primaire des récoltes
01.63Z,Traitement primaire des récoltes,Traitement primaire des récoltes,Traitement primaire des récoltes
01.64,Traitement des semences,Traitement des semences,Traitement des semences
01.64Z,Traitement des semences,Traitement des semences,Traitement des semences
01.7,"Chasse, piégeage et services annexes","Chasse, piégeage et services annexes","Chasse, piégeage et services annexes"
01.70,"Chasse, piégeage et services annexes","Chasse, piégeage et services annexes","Chasse, piégeage et services annexes"
01.70Z,"Chasse, piégeage et services annexes","Chasse, piégeage et services annexes","Chasse, piégeage et services annexes"
02,Sylviculture et exploitation forestière,Sylviculture et exploitation forestière,Sylviculture et exploitation forestière
02.1,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières,Sylviculture & autres act. forestières
02.10,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières,Sylviculture & autres act. forestières
02.10Z,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières,Sylviculture & autres act. forestières
02.2,Exploitation forestière,Exploitation forestière,Exploitation forestière
02.20,Exploitation forestière,Exploitation forestière,Exploitation forestière
02.20Z,Exploitation forestière,Exploitation forestière,Exploitation forestière
02.3,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte produits forestiers non ligneux poussant à l'état sauvage,Récolte prodts forestiers non ligneux
02.30,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte prod. forestiers non ligneux poussant à l'état sauvage,Récolte prodts forestiers non ligneux
02.30Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte prod. forestiers non ligneux poussant à l'état sauvage,Récolte prodts forestiers non ligneux
02.4,Services de soutien à l'exploitation forestière,Services de soutien à l'exploitation forestière,Services de soutien à l'expl. forestière
02.40,Services de soutien à l'exploitation forestière,Services de soutien à l'exploitation forestière,Services de soutien à l'expl. forestière
02.40Z,Services de soutien à l'exploitation forestière,Services de soutien à l'exploitation forestière,Services de soutien à l'expl. forestière
03,Pêche et aquaculture,Pêche et aquaculture,Pêche et aquaculture
03.1,Pêche,Pêche,Pêche
03.11,Pêche en mer,Pêche en mer,Pêche en mer
03.11Z,Pêche en mer,Pêche en mer,Pêche en mer
03.12,Pêche en eau douce,Pêche en eau douce,Pêche en eau douce
03.12Z,Pêche en eau douce,Pêche en eau douce,Pêche en eau douce
03.2,Aquaculture,Aquaculture,Aquaculture
03.21,Aquaculture en mer,Aquaculture en mer,Aquaculture en mer
03.21Z,Aquaculture en mer,Aquaculture en mer,Aquaculture en mer
03.22,Aquaculture en eau douce,Aquaculture en eau douce,Aquaculture en eau douce
03.22Z,Aquaculture en eau douce,Aquaculture en eau douce,Aquaculture en eau douce
05,Extraction de houille et de lignite,Extraction de houille et de lignite,Extraction de houille et de lignite
05.1,Extraction de houille,Extraction de houille,Extraction de houille
05.10,Extraction de houille,Extraction de houille,Extraction de houille
05.10Z,Extraction de houille,Extraction de houille,Extraction de houille
05.2,Extraction de lignite,Extraction de lignite,Extraction de lignite
05.20,Extraction de lignite,Extraction de lignite,Extraction de lignite
05.20Z,Extraction de lignite,Extraction de lignite,Extraction de lignite
06,Extraction d'hydrocarbures,Extraction d'hydrocarbures,Extraction d'hydrocarbures
06.1,Extraction de pétrole brut,Extraction de pétrole brut,Extraction de pétrole brut
06.10,Extraction de pétrole brut,Extraction de pétrole brut,Extraction de pétrole brut
06.10Z,Extraction de pétrole brut,Extraction de pétrole brut,Extraction de pétrole brut
06.2,Extraction de gaz naturel,Extraction de gaz naturel,Extraction de gaz naturel
06.20,Extraction de gaz naturel,Extraction de gaz naturel,Extraction de gaz naturel
06.20Z,Extraction de gaz naturel,Extraction de gaz naturel,Extraction de gaz naturel
07,Extraction de minerais métalliques,Extraction de minerais métalliques,Extraction de minerais métalliques
07.1,Extraction de minerais de fer,Extraction de minerais de fer,Extraction de minerais de fer
07.10,Extraction de minerais de fer,Extraction de minerais de fer,Extraction de minerais de fer
07.10Z,Extraction de minerais de fer,Extraction de minerais de fer,Extraction de minerais de fer
07.2,Extraction de minerais de métaux non ferreux,Extraction de minerais de métaux non ferreux,Extr. de minerais de métaux non ferreux
07.21,Extraction de minerais d'uranium et de thorium,Extraction de minerais d'uranium et de thorium,Extr. de minerais d'uranium & de thorium
07.21Z,Extraction de minerais d'uranium et de thorium,Extraction de minerais d'uranium et de thorium,Extr. de minerais d'uranium & de thorium
07.29,Extraction d'autres minerais de métaux non ferreux,Extraction d'autres minerais de métaux non ferreux,Extr. aut. minerai de métaux non ferreux
07.29Z,Extraction d'autres minerais de métaux non ferreux,Extraction d'autres minerais de métaux non ferreux,Extr. aut. minerai de métaux non ferreux
08,Autres industries extractives,Autres industries extractives,Autres industries extractives
08.1,"Extraction de pierres, de sables et d'argiles","Extraction de pierres, de sables et d'argiles","Extr. de pierres, de sables et d'argiles"
08.11,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","Extraction pierres ornement. construc. calcaire industriel, gypse",Extr. pierre ornement. & construct. etc.
08.11Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","Extraction pierres ornement. construc. calcaire industriel, gypse",Extr. pierre ornement. & construct. etc.
08.12,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin","Exploit gravieres & sablieres, extraction argiles & kaolin","Exploit. gravière & sabl., extr. argile"
08.12Z,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin","Exploit gravieres & sablieres, extraction argiles & kaolin","Exploit. gravière & sabl., extr. argile"
08.9,Activités extractives n.c.a.,Activités extractives n.c.a.,Activités extractives n.c.a.
08.91,Extraction des minéraux chimiques et d'engrais minéraux ,Extraction des minéraux chimiques et d'engrais minéraux,Extr. minéraux chimiq. & engrais min.
08.91Z,Extraction des minéraux chimiques et d'engrais minéraux ,Extraction des minéraux chimiques et d'engrais minéraux,Extr. minéraux chimiq. & engrais min.
08.92,Extraction de tourbe,Extraction de tourbe,Extraction de tourbe
08.92Z,Extraction de tourbe,Extraction de tourbe,Extraction de tourbe
08.93,Production de sel ,Production de sel,Production de sel
08.93Z,Production de sel ,Production de sel,Production de sel
08.99,Autres activités extractives n.c.a.,Autres activités extractives n.c.a.,Autres activités extractives n.c.a.
08.99Z,Autres activités extractives n.c.a.,Autres activités extractives n.c.a.,Autres activités extractives n.c.a.
09,Services de soutien aux industries extractives,Services de soutien aux industries extractives,Sces de soutien aux indust. extractives
09.1,Activités de soutien à l'extraction d'hydrocarbures,Activités de soutien à l'extraction d'hydrocarbures,Act. de soutien à l'extr. hydrocarbures
09.10,Activités de soutien à l'extraction d'hydrocarbures,Activités de soutien à l'extraction d'hydrocarbures,Act. de soutien à l'extr. hydrocarbures
09.10Z,Activités de soutien à l'extraction d'hydrocarbures,Activités de soutien à l'extraction d'hydrocarbures,Act. de soutien à l'extr. hydrocarbures
09.9,Activités de soutien aux autres industries extractives,Activités de soutien aux autres industries extractives,Act. de soutien aut. indus. extractives
09.90,Activités de soutien aux autres industries extractives ,Activités de soutien aux autres industries extractives,Act. de soutien aut. indus. extractives
09.90Z,Activités de soutien aux autres industries extractives ,Activités de soutien aux autres industries extractives,Act. de soutien aut. indus. extractives
10,Industries alimentaires,Industries alimentaires,Industries alimentaires
10.1,Transformation et conservation de la viande et préparation de produits à base de viande,Transform. & conserv. viande & préparation prod. à base de viande,Transf. & conserv. viande & prép. viande
10.11,Transformation et conservation de la viande de boucherie,Transformation et conservation de la viande de boucherie,Transf. & conserv.  viande de boucherie
